U_65800	UBA827	GB_GCA_002295665.1
U_71693	UBA4297	GB_GCA_002394865.1
U_65657	UBA747	GB_GCA_002297355.1
U_71424	UBA10105	GB_GCA_003535735.1
U_69289	UBA2965	GB_GCA_002348385.1
U_68246	UBA8946	GB_GCA_003451975.1
U_70085	UBA9551	
U_71675	UBA4287	GB_GCA_002394915.1
U_72509	UBA10525	GB_GCA_003476065.1
U_72722	UBA325	GB_GCA_002508925.1
U_77879	UBA12515	
U_73813	UBA5495	GB_GCA_002424005.1
U_73821	UBA5501	GB_GCA_002426265.1
U_73850	UBA11029	GB_GCA_003512005.1
U_76004	UBA6797	GB_GCA_002452395.1
U_76718	UBA7304	GB_GCA_002471785.1
U_68546	UBA9018	
U_71148	UBA247	GB_GCA_002495055.1
U_65625	UBA8010	GB_GCA_003517285.1
U_69516	UBA3115	GB_GCA_002365455.1
U_68439	UBA2407	GB_GCA_002345945.1
U_74365	UBA5822	GB_GCA_002417705.1
U_76633	UBA7235	GB_GCA_002473005.1
U_70310	UBA3540	GB_GCA_002376755.1
U_71567	UBA10232	GB_GCA_003521355.1
U_67455	UBA1830	GB_GCA_002338865.1
U_74349	UBA11210	
U_75622	UBA6596	GB_GCA_002433585.1
U_73725	UBA5444	GB_GCA_002426575.1
U_77051	UBA7391	GB_GCA_002470195.1
U_68383	UBA2363	GB_GCA_002344355.1
U_65758	UBA8059	GB_GCA_003533345.1
U_65550	UBA7987	GB_GCA_003521435.1
U_69798	UBA3292	GB_GCA_002361565.1
U_77757	UBA12427	GB_GCA_003512165.1
U_68495	UBA9010	
U_70908	UBA3934	GB_GCA_002385815.1
U_72976	UBA5059	GB_GCA_002415975.1
U_77259	UBA7526	GB_GCA_002478245.1
U_68859	UBA2649	GB_GCA_002359595.1
U_75869	UBA11736	
U_71142	UBA9949	
U_74630	UBA5961	GB_GCA_002430305.1
U_76755	UBA12007	
U_76997	UBA7369	GB_GCA_002470745.1
U_67443	UBA1821	GB_GCA_002314235.1
U_76787	UBA7341	GB_GCA_002471115.1
U_72012	UBA10372	GB_GCA_003528725.1
U_71541	UBA10222	
